Output Order,Index Name,In Text Name,Category,Introduced in Version,Description,Numerator/equation,Denominator,Corpus/Database,Reference,Corpus/Database Reference,Mode-Genre,Raw/Lemma,Types of Words,Raw/Log,Tokens/Types
20,KF_Nsamp_FW,Kucera-Francis Range FW,Word Range,TAALES 1.0,Mean Range (number of documents that a word occurs in) score,Sum of sample scores,number of words in text with sample scores,Brown Corpus,"Kucera & Francis, 1967","Kucera & Francis, 1967",Written,Lemma,Function Words,Raw,Tokens
21,TL_Freq_FW,Thorndike-Lorge Frequency FW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Lorge's corpus of popular magazine articles,"Thorndike & Lorge, 1944","Thorndike & Lorge, 1944",Written,Lemma,Function Words,Raw,Tokens
22,TL_Freq_FW_Log,Thorndike-Lorge Frequency FW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,Lorge's corpus of popular magazine articles,"Thorndike & Lorge, 1944","Thorndike & Lorge, 1944",Written,Lemma,Function Words,Log Transformed,Tokens
23,Brown_Freq_FW,Brown Frequency FW,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,London-Lund Corpus of Conversation,"Brown, 1984","Svartvik and Quirk, 1980",Spoken,Lemma,Function Words,Raw,Tokens
24,Brown_Freq_FW_Log,Brown Frequency FW Logarithm,Word Frequency,TAALES 1.0,Mean Frequency Score,Sum of frequency scores,number of words in text with frequency score,London-Lund Corpus of Conversation,"Brown, 1984","Svartvik and Quirk, 1980",Spoken,Lemma,Function Words,Log Transformed,Tokens
25,MRC_Familiarity_AW,MRC Familiarity AW,Psycholinguistic Norms,TAALES 1.0,Mean unigram familiarity score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,All Words,Raw,Tokens
26,MRC_Concreteness_AW,MRC Concreteness AW,Psycholinguistic Norms,TAALES 1.0,Mean unigram concreteness score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,All Words,Raw,Tokens
27,MRC_Imageability_AW,MRC Imageability AW,Psycholinguistic Norms,TAALES 1.0,Mean unigram imageability score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,All Words,Raw,Tokens
28,MRC_Meaningfulness_AW,MRC Meaningfulness AW,Psycholinguistic Norms,TAALES 1.0,Mean unigram meaningfulness score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,Toglia and Battig (1978) ,"Coltheart, 1981",Written Surveys,Lemma,All Words,Raw,Tokens
29,MRC_Familiarity_CW,MRC Familiarity CW,Psycholinguistic Norms,TAALES 1.0,Mean unigram familiarity score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,Content Words,Raw,Tokens
30,MRC_Concreteness_CW,MRC Concreteness CW,Psycholinguistic Norms,TAALES 1.0,Mean unigram concreteness score,Sum of concreteness scores,number of words in text with concreteness scores,MRC Database,0,"Coltheart, 1981",Written Surveys,Lemma,Content Words,Raw,Tokens
