Output Order,Index Name,In Text Name,Category,Introduced in Version,Description,Numerator/equation,Denominator,Corpus/Database,Reference,Corpus/Database Reference,Mode-Genre,Raw/Lemma,Types of Words,Raw/Log,Tokens/Types
249,COCA_academic_tri_2_MI2,COCA Academic Trigram Bigram to Unigram Association Strength (MI^2),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (MI^2)  (item 1 = first bigram, item 2 = remaining word)",Sum of MI^2 scores,number of trigrams in text with MI^2 scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
250,COCA_academic_tri_2_T,COCA Academic Trigram Bigram to Unigram Association Strength (T),Ngram Association Strength,TAALES 2.0,"Mean T Association Strength Score  (item 1 = first bigram, item 2 = remaining word)",Sum of T scores,number of trigrams in text with T scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
251,COCA_academic_tri_2_DP,COCA Academic Trigram Bigram to Unigram Association Strength (DP),Ngram Association Strength,TAALES 2.0,"Mean Delta P Association Score (left to right)  (item 1 = first bigram, item 2 = remaining word)",Sum of Delta P scores,number of trigrams in text with Delta P scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
252,COCA_academic_tri_2_AC,COCA Academic Trigram Bigram to Unigram Association Strength (AC),Ngram Association Strength,TAALES 2.0,"Mean Approximate Collexeme Strength Score (left to right DP * frequency of first item)  (item 1 = first bigram, item 2 = remaining word)",Sum of Collexeme scores,number of trigrams in text with Collexeme scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
253,COCA_academic_tri_prop_10k,COCA Academic Trigram Proportion 10k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 10,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
254,COCA_academic_tri_prop_20k,COCA Academic Trigram Proportion 20k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 20,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
255,COCA_academic_tri_prop_30k,COCA Academic Trigram Proportion 30k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 30,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
256,COCA_academic_tri_prop_40k,COCA Academic Trigram Proportion 40k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 40,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
257,COCA_academic_tri_prop_50k,COCA Academic Trigram Proportion 50k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 50,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
258,COCA_academic_tri_prop_60k,COCA Academic Trigram Proportion 60k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 60,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
259,COCA_academic_tri_prop_70k,COCA Academic Trigram Proportion 70k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 70,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
260,COCA_academic_tri_prop_80k,COCA Academic Trigram Proportion 80k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 80,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
261,COCA_academic_tri_prop_90k,COCA Academic Trigram Proportion 90k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 90,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
262,COCA_academic_tri_prop_100k,COCA Academic Trigram Proportion 100k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 100,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Academic,Raw,All Words,Raw,Tokens
263,COCA_Fiction_Trigram_Frequency,COCA Fiction Trigram Frequency,Ngram Frequency,TAALES 2.0,Mean trigram frequency score,Sum of trigram frequency scores,number of trigrams in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
264,COCA_Fiction_Trigram_Range,COCA Fiction Trigram Range,Ngram Range,TAALES 2.0,Mean trigram range score,Sum of range scores,number of trigrams in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
265,COCA_Fiction_Trigram_Frequency_Log,COCA Fiction Trigram Frequency Logarithm,Ngram Frequency,TAALES 2.0,Mean trigram frequency score,Sum of trigram frequency scores,number of trigrams in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Log Transformed,Tokens
266,COCA_Fiction_Trigram_Range_Log,COCA Fiction Trigram Range Logarithm,Ngram Range,TAALES 2.0,Mean trigram range score,Sum of range scores,number of trigrams in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Log Transformed,Tokens
267,COCA_fiction_tri_MI,COCA Fiction Trigram Unigram to Bigram Association Strength (MI),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (item 1 = first word, item 2 = following bigram)",Sum of Mutual Information scores,number of trigrams in text with Mutual Information score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
268,COCA_fiction_tri_MI2,COCA Fiction Trigram Unigram to Bigram Association Strength (MI^2),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (MI^2)  (item 1 = first word, item 2 = following bigram)",Sum of MI^2 scores,number of trigrams in text with MI^2 scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
269,COCA_fiction_tri_T,COCA Fiction Trigram Unigram to Bigram Association Strength (T),Ngram Association Strength,TAALES 2.0,"Mean T Association Strength Score  (item 1 = first word, item 2 = following bigram)",Sum of T scores,number of trigrams in text with T scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
270,COCA_fiction_tri_DP,COCA Fiction Trigram Unigram to Bigram Association Strength (DP),Ngram Association Strength,TAALES 2.0,"Mean Delta P Association Score (left to right)  (item 1 = first word, item 2 = following bigram)",Sum of Delta P scores,number of trigrams in text with Delta P scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
271,COCA_fiction_tri_AC,COCA Fiction Trigram Unigram to Bigram Association Strength (AC),Ngram Association Strength,TAALES 2.0,"Mean Approximate Collexeme Strength Score (left to right DP * frequency of first item)  (item 1 = first word, item 2 = following bigram)",Sum of Collexeme scores,number of trigrams in text with Collexeme scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
272,COCA_fiction_tri_2_MI,COCA Fiction Trigram Bigram to Unigram Association Strength (MI),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (item 1 = first bigram, item 2 = remaining word)",Sum of Mutual Information scores,number of trigrams in text with Mutual Information score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
273,COCA_fiction_tri_2_MI2,COCA Fiction Trigram Bigram to Unigram Association Strength (MI^2),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (MI^2)  (item 1 = first bigram, item 2 = remaining word)",Sum of MI^2 scores,number of trigrams in text with MI^2 scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
274,COCA_fiction_tri_2_T,COCA Fiction Trigram Bigram to Unigram Association Strength (T),Ngram Association Strength,TAALES 2.0,"Mean T Association Strength Score  (item 1 = first bigram, item 2 = remaining word)",Sum of T scores,number of trigrams in text with T scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
275,COCA_fiction_tri_2_DP,COCA Fiction Trigram Bigram to Unigram Association Strength (DP),Ngram Association Strength,TAALES 2.0,"Mean Delta P Association Score (left to right)  (item 1 = first bigram, item 2 = remaining word)",Sum of Delta P scores,number of trigrams in text with Delta P scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
276,COCA_fiction_tri_2_AC,COCA Fiction Trigram Bigram to Unigram Association Strength (AC),Ngram Association Strength,TAALES 2.0,"Mean Approximate Collexeme Strength Score (left to right DP * frequency of first item)  (item 1 = first bigram, item 2 = remaining word)",Sum of Collexeme scores,number of trigrams in text with Collexeme scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
277,COCA_fiction_tri_prop_10k,COCA Fiction Trigram Proportion 10k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 10,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
278,COCA_fiction_tri_prop_20k,COCA Fiction Trigram Proportion 20k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 20,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
279,COCA_fiction_tri_prop_30k,COCA Fiction Trigram Proportion 30k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 30,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
280,COCA_fiction_tri_prop_40k,COCA Fiction Trigram Proportion 40k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 40,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
281,COCA_fiction_tri_prop_50k,COCA Fiction Trigram Proportion 50k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 50,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
282,COCA_fiction_tri_prop_60k,COCA Fiction Trigram Proportion 60k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 60,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
283,COCA_fiction_tri_prop_70k,COCA Fiction Trigram Proportion 70k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 70,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
284,COCA_fiction_tri_prop_80k,COCA Fiction Trigram Proportion 80k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 80,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
285,COCA_fiction_tri_prop_90k,COCA Fiction Trigram Proportion 90k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 90,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
286,COCA_fiction_tri_prop_100k,COCA Fiction Trigram Proportion 100k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 100,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Fiction,Raw,All Words,Raw,Tokens
287,COCA_Magazine_Trigram_Frequency,COCA Magazine Trigram Frequency,Ngram Frequency,TAALES 2.0,Mean trigram frequency score,Sum of trigram frequency scores,number of trigrams in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
288,COCA_Magazine_Trigram_Range,COCA Magazine Trigram Range,Ngram Range,TAALES 2.0,Mean trigram range score,Sum of range scores,number of trigrams in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
289,COCA_Magazine_Trigram_Frequency_Log,COCA Magazine Trigram Frequency Logarithm,Ngram Frequency,TAALES 2.0,Mean trigram frequency score,Sum of trigram frequency scores,number of trigrams in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Log Transformed,Tokens
290,COCA_Magazine_Trigram_Range_Log,COCA Magazine Trigram Range Logarithm,Ngram Range,TAALES 2.0,Mean trigram range score,Sum of range scores,number of trigrams in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Log Transformed,Tokens
291,COCA_magazine_tri_MI,COCA Magazine Trigram Unigram to Bigram Association Strength (MI),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (item 1 = first word, item 2 = following bigram)",Sum of Mutual Information scores,number of trigrams in text with Mutual Information score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
292,COCA_magazine_tri_MI2,COCA Magazine Trigram Unigram to Bigram Association Strength (MI^2),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (MI^2)  (item 1 = first word, item 2 = following bigram)",Sum of MI^2 scores,number of trigrams in text with MI^2 scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
293,COCA_magazine_tri_T,COCA Magazine Trigram Unigram to Bigram Association Strength (T),Ngram Association Strength,TAALES 2.0,"Mean T Association Strength Score  (item 1 = first word, item 2 = following bigram)",Sum of T scores,number of trigrams in text with T scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
294,COCA_magazine_tri_DP,COCA Magazine Trigram Unigram to Bigram Association Strength  (DP),Ngram Association Strength,TAALES 2.0,"Mean Delta P Association Score (left to right)  (item 1 = first word, item 2 = following bigram)",Sum of Delta P scores,number of trigrams in text with Delta P scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
295,COCA_magazine_tri_AC,COCA Magazine Trigram Unigram to Bigram Association Strength (AC),Ngram Association Strength,TAALES 2.0,"Mean Approximate Collexeme Strength Score (left to right DP * frequency of first item)  (item 1 = first word, item 2 = following bigram)",Sum of Collexeme scores,number of trigrams in text with Collexeme scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
296,COCA_magazine_tri_2_MI,COCA Magazine Trigram Bigram to Unigram Association Strength (MI),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (item 1 = first bigram, item 2 = remaining word)",Sum of Mutual Information scores,number of trigrams in text with Mutual Information score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
297,COCA_magazine_tri_2_MI2,COCA Magazine Trigram Bigram to Unigram Association Strength (MI^2),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (MI^2)  (item 1 = first bigram, item 2 = remaining word)",Sum of MI^2 scores,number of trigrams in text with MI^2 scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
298,COCA_magazine_tri_2_T,COCA Magazine Trigram Bigram to Unigram Association Strength (T),Ngram Association Strength,TAALES 2.0,"Mean T Association Strength Score  (item 1 = first bigram, item 2 = remaining word)",Sum of T scores,number of trigrams in text with T scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
299,COCA_magazine_tri_2_DP,COCA Magazine Trigram Bigram to Unigram Association Strength (DP),Ngram Association Strength,TAALES 2.0,"Mean Delta P Association Score (left to right)  (item 1 = first bigram, item 2 = remaining word)",Sum of Delta P scores,number of trigrams in text with Delta P scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
300,COCA_magazine_tri_2_AC,COCA Magazine Trigram Bigram to Unigram Association Strength (AC),Ngram Association Strength,TAALES 2.0,"Mean Approximate Collexeme Strength Score (left to right DP * frequency of first item)  (item 1 = first bigram, item 2 = remaining word)",Sum of Collexeme scores,number of trigrams in text with Collexeme scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
301,COCA_magazine_tri_prop_10k,COCA Magazine Trigram Proportion 10k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 10,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
302,COCA_magazine_tri_prop_20k,COCA Magazine Trigram Proportion 20k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 20,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
303,COCA_magazine_tri_prop_30k,COCA Magazine Trigram Proportion 30k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 30,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
304,COCA_magazine_tri_prop_40k,COCA Magazine Trigram Proportion 40k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 40,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
305,COCA_magazine_tri_prop_50k,COCA Magazine Trigram Proportion 50k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 50,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
306,COCA_magazine_tri_prop_60k,COCA Magazine Trigram Proportion 60k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 60,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
307,COCA_magazine_tri_prop_70k,COCA Magazine Trigram Proportion 70k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 70,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
308,COCA_magazine_tri_prop_80k,COCA Magazine Trigram Proportion 80k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 80,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
309,COCA_magazine_tri_prop_90k,COCA Magazine Trigram Proportion 90k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 90,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
310,COCA_magazine_tri_prop_100k,COCA Magazine Trigram Proportion 100k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 100,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Magazine,Raw,All Words,Raw,Tokens
311,COCA_News_Trigram_Frequency,COCA News Trigram Frequency,Ngram Frequency,TAALES 2.0,Mean trigram frequency score,Sum of trigram frequency scores,number of trigrams in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
312,COCA_News_Trigram_Range,COCA News Trigram Range,Ngram Range,TAALES 2.0,Mean trigram range score,Sum of range scores,number of trigrams in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
313,COCA_News_Trigram_Frequency_Log,COCA News Trigram Frequency Logarithm,Ngram Frequency,TAALES 2.0,Mean trigram frequency score,Sum of trigram frequency scores,number of trigrams in text with frequency score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Log Transformed,Tokens
314,COCA_News_Trigram_Range_Log,COCA News Trigram Range Logarithm,Ngram Range,TAALES 2.0,Mean trigram range score,Sum of range scores,number of trigrams in text with range score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Log Transformed,Tokens
315,COCA_news_tri_MI,COCA News Trigram Unigram to Bigram Association Strength (MI),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (item 1 = first word, item 2 = following bigram)",Sum of Mutual Information scores,number of trigrams in text with Mutual Information score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
316,COCA_news_tri_MI2,COCA News Trigram Unigram to Bigram Association Strength (MI^2),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (MI^2)  (item 1 = first word, item 2 = following bigram)",Sum of MI^2 scores,number of trigrams in text with MI^2 scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
317,COCA_news_tri_T,COCA News Trigram Unigram to Bigram Association Strength (T),Ngram Association Strength,TAALES 2.0,"Mean T Association Strength Score  (item 1 = first word, item 2 = following bigram)",Sum of T scores,number of trigrams in text with T scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
318,COCA_news_tri_DP,COCA News Trigram Unigram to Bigram Association Strength (DP),Ngram Association Strength,TAALES 2.0,"Mean Delta P Association Score (left to right)  (item 1 = first word, item 2 = following bigram)",Sum of Delta P scores,number of trigrams in text with Delta P scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
319,COCA_news_tri_AC,COCA News Trigram Unigram to Bigram Association Strength (AC),Ngram Association Strength,TAALES 2.0,"Mean Approximate Collexeme Strength Score (left to right DP * frequency of first item)  (item 1 = first word, item 2 = following bigram)",Sum of Collexeme scores,number of trigrams in text with Collexeme scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
320,COCA_news_tri_2_MI,COCA News Trigram Bigram to Unigram Association Strength (MI),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (item 1 = first bigram, item 2 = remaining word)",Sum of Mutual Information scores,number of trigrams in text with Mutual Information score,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
321,COCA_news_tri_2_MI2,COCA News Trigram Bigram to Unigram Association Strength (MI^2),Ngram Association Strength,TAALES 2.0,"Mean Mutual Information Score (MI^2)  (item 1 = first bigram, item 2 = remaining word)",Sum of MI^2 scores,number of trigrams in text with MI^2 scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
322,COCA_news_tri_2_T,COCA News Trigram Bigram to Unigram Association Strength (T),Ngram Association Strength,TAALES 2.0,"Mean T Association Strength Score  (item 1 = first bigram, item 2 = remaining word)",Sum of T scores,number of trigrams in text with T scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
323,COCA_news_tri_2_DP,COCA News Trigram Bigram to Unigram Association Strength (DP),Ngram Association Strength,TAALES 2.0,"Mean Delta P Association Score (left to right)  (item 1 = first bigram, item 2 = remaining word)",Sum of Delta P scores,number of trigrams in text with Delta P scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
324,COCA_news_tri_2_AC,COCA News Trigram Bigram to Unigram Association Strength (AC),Ngram Association Strength,TAALES 2.0,"Mean Approximate Collexeme Strength Score (left to right DP * frequency of first item)  (item 1 = first bigram, item 2 = remaining word)",Sum of Collexeme scores,number of trigrams in text with Collexeme scores,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
325,COCA_news_tri_prop_10k,COCA News Trigram Proportion 10k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 10,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
326,COCA_news_tri_prop_20k,COCA News Trigram Proportion 20k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 20,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
327,COCA_news_tri_prop_30k,COCA News Trigram Proportion 30k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 30,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
328,COCA_news_tri_prop_40k,COCA News Trigram Proportion 40k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 40,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
329,COCA_news_tri_prop_50k,COCA News Trigram Proportion 50k,Ngram Frequency,TAALES 2.0,"Proportion of trigrams in text that are among the 50,000 most frequent trigrams in COCA",Number of trigrams in list,number of trigrams in text,Corpus of Contemporary American English,"Davies, 2009","Davies, 2009",Written - Newspaper,Raw,All Words,Raw,Tokens
