filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
109.txt,328,129,135,81,193,48,0.627906977,0.411585366,0.393292683,0.6,0.248704663,7.122833432,6.971370023,3.455115604,0.838909199,0.895861976,0.73559356,0.064029761,0.048883431,0.115685763,0.659784946,0.703953488,0.467916667,0.66,0.71,0.48,0.763225954,0.821954136,0.53892806,35.58328082,40.46370968,13.86756955,29.19760685,30.21130394,13.2536639,30.71646341,31.53333333,13.28497409
11.txt,249,89,93,50,156,39,0.561797753,0.373493976,0.357429719,0.537634409,0.25,5.64014583,5.184758474,3.122498999,0.813534153,0.863085965,0.725478438,0.077817335,0.069553072,0.125173719,0.6537,0.667727273,0.464859813,0.625,0.68,0.466666667,0.744886117,0.724563873,0.55624577,27.39052497,32.27367688,13.59090909,27.9870873,21.33030178,14.53530515,30.04417671,23.40860215,15.01923077
110.txt,286,121,117,72,169,49,0.595041322,0.409090909,0.423076923,0.615384615,0.289940828,7.154879991,6.656402355,3.769230769,0.847913276,0.898049122,0.758654413,0.061915334,0.049294834,0.108329381,0.685063291,0.732352941,0.477833333,0.712,0.78,0.48,0.738522645,0.794820821,0.529948831,30.18566855,47.25684713,13.203125,31.39960675,39.96802935,13.13029283,31.60839161,50.70940171,13.49112426
111.txt,221,95,95,59,126,36,0.621052632,0.429864253,0.429864253,0.621052632,0.285714286,6.390391543,6.053272277,3.207134903,0.843597562,0.895399138,0.740965686,0.066713425,0.052889525,0.123327912,0.662906977,0.684782609,0.446233766,0.66,0.68,0.45,0.741572027,0.786414321,0.506275829,31.51856977,43.76775628,14.31384555,28.13782465,30.54216634,12.63771539,29.31674208,48.4,12.92857143
112.txt,311,130,118,85,193,45,0.653846154,0.379421222,0.418006431,0.720338983,0.233160622,7.371623703,7.824884252,3.239170878,0.848033113,0.931239771,0.723330151,0.060963295,0.033187329,0.121051372,0.667328244,0.788115942,0.441527778,0.676666667,0.82,0.44,0.73172632,0.868181181,0.503032249,30.65671212,105.7762431,13.29120135,28.48082328,69.80952381,12.99177205,30.07717042,100.4322034,13.34196891
113.txt,286,120,111,66,175,54,0.55,0.388111888,0.41958042,0.594594595,0.308571429,7.095748752,6.264442772,4.082016308,0.846446017,0.889612034,0.772342565,0.062512663,0.053970921,0.101495129,0.689957806,0.73483871,0.507619048,0.696,0.71,0.52,0.772707275,0.771090725,0.59788997,37.45881718,41.6553822,16.17100887,34.39382022,45.71809688,16.2347561,33.82867133,45.31531532,16.27428571
114.txt,279,91,95,54,184,37,0.593406593,0.340501792,0.326164875,0.568421053,0.201086957,5.448027495,5.540283101,2.727676189,0.80104597,0.875953422,0.692418484,0.081351688,0.062721898,0.135808502,0.547391304,0.6,0.358962963,0.556,0.66,0.36,0.623092077,0.717806722,0.415066643,20.11413413,26.05775664,11.57512563,17.387519,19.83862434,11.19297721,19.03225806,34.70526316,11.32608696
115.txt,366,130,153,80,213,50,0.615384615,0.418032787,0.355191257,0.522875817,0.234741784,6.795208855,6.467616668,3.425943549,0.82463778,0.871102418,0.72967913,0.068407846,0.059000361,0.116098281,0.683028391,0.735576923,0.469512195,0.694285714,0.733333333,0.47,0.741804159,0.77496331,0.528127797,41.41562173,45.21008604,15.21428571,34.19886065,31.34511628,14.23069307,37.3715847,45.68627451,14.57746479
116.txt,270,120,115,74,155,46,0.616666667,0.425925926,0.444444444,0.643478261,0.296774194,7.302967433,6.900535581,3.694808913,0.855150215,0.907086756,0.759135173,0.05957553,0.045088242,0.109967284,0.726425339,0.782424242,0.490566038,0.704,0.78,0.493333333,0.769766774,0.825956776,0.547671234,51.12765957,63.97482162,17.25917978,47.08083763,66.13596491,16.49779774,49.75925926,69.60869565,18.12903226
117.txt,261,96,96,54,165,42,0.5625,0.367816092,0.367816092,0.5625,0.254545455,5.942250822,5.511351921,3.269695565,0.820259044,0.873943853,0.732023019,0.074376373,0.063591775,0.120847315,0.573584906,0.627659574,0.427758621,0.592,0.7,0.433333333,0.725584062,0.747566127,0.539877651,17.85091674,16.64888,12.44395492,17.51054898,13.69402597,12.39292872,18.6091954,16.79166667,12.47272727
118.txt,226,96,86,59,140,37,0.614583333,0.380530973,0.424778761,0.686046512,0.264285714,6.38582501,6.362133619,3.127070742,0.842047546,0.91540627,0.7307121,0.067096507,0.043729024,0.125476158,0.650621469,0.727567568,0.436483516,0.65,0.82,0.43,0.74201227,0.814618254,0.519520344,28.95222086,50.75319693,15.75,26.72893951,29.17962185,14.32002442,27.34955752,37.51162791,14.35
119.txt,192,84,86,48,106,36,0.571428571,0.447916667,0.4375,0.558139535,0.339622642,6.062177826,5.175973114,3.496629104,0.842761902,0.869083786,0.768428378,0.068864369,0.067674499,0.114339086,0.678181818,0.642162162,0.486666667,0.633333333,0.66,0.52,0.75483373,0.709175724,0.551223777,32.56986301,33.6844078,13.68206522,35.87311762,23.6461039,15.49484536,35.40625,25.01162791,15.25471698
12.txt,255,99,104,55,151,44,0.555555556,0.407843137,0.388235294,0.528846154,0.291390728,6.199620482,5.393193716,3.580669219,0.829254883,0.862832882,0.754231328,0.070950454,0.068004388,0.112790855,0.613398058,0.630545455,0.463333333,0.632,0.6,0.446666667,0.71593117,0.700357351,0.524482815,31.04190586,23.1075624,15.11966146,24.56118311,18.29776423,14.0543956,27.5372549,22.10576923,14.09271523
120.txt,342,125,134,76,208,49,0.608,0.391812865,0.365497076,0.567164179,0.235576923,6.75922588,6.565400034,3.397538702,0.827501346,0.884212942,0.729141458,0.068072959,0.054434111,0.116846912,0.619249147,0.616705882,0.443773585,0.636666667,0.67,0.435,0.719407594,0.760369583,0.520451396,26.3662188,25.90408154,13.47715356,26.98757811,20.47642643,14.04785096,27.97368421,30.04477612,13.875
13.txt,310,114,137,73,173,41,0.640350877,0.441935484,0.367741935,0.532846715,0.23699422,6.47476491,6.236810901,3.117172277,0.825614706,0.872047983,0.720621373,0.069995976,0.059882429,0.124831489,0.620153257,0.669545455,0.408870968,0.63,0.65,0.426666667,0.703743199,0.750016772,0.464108959,24.05021629,34.38582977,11.61376967,23.26410221,23.75149031,11.27508053,23.97096774,26.79562044,11.67630058
14.txt,360,140,140,91,220,49,0.65,0.388888889,0.388888889,0.65,0.222727273,7.378647874,7.690903718,3.303579326,0.839543847,0.912825964,0.721558963,0.062768844,0.040619215,0.118868827,0.624758842,0.721978022,0.427251462,0.674285714,0.74,0.44,0.745948872,0.854098174,0.520274991,24.73002815,67.33100346,12.66689447,22.83803697,25.54617117,12.82923288,28.61111111,42.84285714,13.09545455
15.txt,205,90,77,57,128,33,0.633333333,0.375609756,0.43902439,0.74025974,0.2578125,6.285872662,6.495752858,2.916815472,0.845350598,0.930762517,0.720627731,0.066897002,0.036701735,0.132579227,0.594358974,0.734285714,0.366835443,0.63,0.72,0.38,0.682821809,0.835073995,0.443965985,23.69277281,66.61330935,12.8,21.71146075,37.10610611,12.09041249,26.38536585,60.96103896,12.1484375
